漢字,華語
佇臺灣，漳泉濫已經真普遍，四界攏聽會著。,在臺灣，漳泉相混的口音已經很普遍，到處都聽得到。
阮孫誠有粿路，甜的、鹹的伊攏好。,我的孫子很喜歡糕粿類的食品，甜的、鹹的他都喜歡。
綿精讀,努力不懈地讀書
綿精趁錢,想盡辦法賺錢
伊的人真綿精，一仙五厘也佮人算甲到。,他為人錙銖必較，一分五厘的錢也跟人計較到底。
伊彼步咧做較緊氣，你毋小學一下？,他那一招做起來比較迅速，你怎不稍微學一下？
你定定愛家己一个走去無救生員的海邊泅水，緊縒慢會出代誌。,你老是喜歡自己一個人跑去沒有救生員的海邊游泳，早晚會出事。
進口的蘋果通常攏有蓋蠟。,進口的蘋果通常都有上蠟。
愛先學咱的母語，才閣認捌別種的話語。,要先學咱們的母語，再來認識別種的話語。
你趖跤趖手，排路邊擔仔無合啦。,你手腳慢吞吞的，不適合去擺路邊攤啦。
噗仔聲共伊催落去！,用熱烈的掌聲來歡迎表演者！
囡仔墜腸，有的家己會好去，大部份攏愛去開刀治療。,小孩子疝氣，有的會自己痊癒，大部分都得去開刀治療。
撨徙位,搬移位置
這塊桌仔共撨徙去彼爿倚壁。,這塊桌子把它挪移到那邊靠牆。
校長步頻是開車來上班的，今仔日哪會騎鐵馬來學校？,校長向來都是開車來上班的，今天怎麼會騎腳踏車來學校？
阿公步頻毋捌攑筆，欲叫伊寫批，是並攑鋤頭較食力喔！,爺爺向來不曾拿筆，要叫他寫信，是比拿鋤頭還吃力呢！
步頻欲叫我做編輯的工課，我做無路來。,突然要叫我做編輯的工作，我做不上來。
早前槺榔是做掃帚的主要材料。,以前槺榔是製作掃把的主要材料。
這个地名按怎來的，已經無才調稽考矣。,這個地名怎麼來的，已經不可考了。
家己管教好，毋驚別人來稽考。,自己管教得好，就不怕別人來查究。
伊有共咱坐毋著就好，過去的代誌莫閣稽考矣。,他跟咱們道歉過就好，過去的事別再計較了。
伊足愛練仙兼激骨。,他很喜歡漫無目的地隨意聊天，又刻意裝出滑稽的樣子。
蓮花頭窒咧，著愛清清咧。,蓮蓬頭塞住了，需要清理一下。
我去臺南，攏會去買蝦卷來食。,我到臺南，都會去買蝦捲來吃。
蝦蛄頭食起來無較輸龍蝦。,毛緣扇蝦吃起來不遜於龍蝦。
囡仔少歲較袂曉，請你諒情。,孩子年紀小比較不懂事，請你多擔待。
論真，無彼號代誌。,其實沒有那樣的事情。
論真來講，你嘛有毋著，著共伊會失禮。,說真的，你也有錯，得跟他道歉。
趁閬雨縫，我欲先來去矣。,趁著雨歇，我要先離開了。
便若拄著戰爭，有錢人攏先閬港。,只要碰到戰爭，有錢人都先設法逃到外地去。
我叫阮囝共我鬥顧擔，伊煞閬港去佮人撞球。,我叫我兒子幫我顧攤子，他竟開溜去跟人家打撞球。
果子若靠傷，就賣較無價。,水果要是碰傷了，就賣不到好價錢。
跤靠傷，行著會疼。,腳碰傷了，走起來會痛。
蔥仔著愛駐水才會較鮮脆。,青蔥要稍微浸一下水才會比較鮮脆。
伊是駐水死的。,他是溺水死的。
溝仔窒牢咧，較加嘛會駐水。,水溝塞住了，難怪會積水。
逐家相招來弄獅，大鑼大鼓鬧猜猜。,大家相約來舞獅，大鑼大鼓鬧哄哄。
傳統嫁娶愛點燈結綵，親情朋友來祝賀，規廳堂鬧猜猜。,傳統婚嫁得要張燈結綵，親朋好友來祝賀，整個廳堂熱鬧哄哄。
放彼種音樂真噪耳。,放那種音樂聽了很受不了。
三噸半的貨車扣除車身重量，會使載大約一千五百公斤的貨。,三噸半的貨車扣除車身重量，可以載運大約一千五百公斤的貨。
看見樹梅，就會止喙焦。,看見楊梅，就會止渴。
激骨話刁工共話意藏佇話裡，予聽的人去掠話骨。,歇後語故意把話意藏在話裡，讓聽的人去抓話裡的重點。
人一下衰，燃水也焦鍋。,人一倒楣，連燒開水也燒焦了鍋子。俗語，比喻人一倒楣，凡事不順。
除了竹仔佮七里香以外，燈仔花嘛是上捷種來做籬笆的樹仔。,除了竹子和七里香以外，朱槿也是最常種植來當圍籬的樹木。
伊發燒，頭殼摸著燒烘烘。,他發燒，額頭摸起來溫度很高。
包仔拄炊好的，猶燒唿唿。,包子剛蒸好的，還熱呼呼的。
浸溫泉起來，規身軀燒唿唿。,泡溫泉起來，整個人熱呼呼的。
立冬燖補，共序大人侹身體。,立冬燉補，給父母補身子。
這馬真少用磚仔起厝，磚仔窯一間仔一間攏關起來矣。,現在很少用磚頭蓋房子， 磚窯一間間都關閉了。
糖仔食傷濟會蛀齒。,糖果吃太多會蛀牙。
一个起酒痟的烏白拍人，予人縛跤縛手，袂振袂動。,一個發酒瘋的隨便打人，被人家綁手綁腳，不能動彈。
這个贊助廠商有私心，共導演縛跤縛手，害伊袂當照理想去拍片。,這家贊助廠商有私心，處處限制導演，害他無法按照理想去拍片。
連參詳一下都無通，閣欲講東講西，你實在真聬儱。,連商量一下都不行，還要東扯西扯，你實在很難相處。
伊較講都講袂翻捙，有夠聬儱。,再怎麼說也無法改變他的想法，實在非常愚鈍又頑固。
交秋的時粉鳥就會褪毛。,夏秋之交，鴿子就會褪換新的羽毛。
古早人講：「姑表相伨，親疊親。」這馬袂使矣。,古人說：「姑表聯姻，親上加親。」現在不行了。
救蟲，賴賴趖；救人，無功勞。,救蟲，蟲還會活潑蠕動，像在表示感謝；救人，卻一點功勞也沒有。俗語，慨嘆人心險惡，忘恩負義，比蟲還不如。
伊予人𤆬歹去，不時走學，佇外口賴賴趖。,他被人帶壞了，時常逃學，在外面四處閒晃。
伊定定去杉仔行抔鋸屑烌轉來燃。,他常常去木材行撿拾鋸木屑回來當柴火。
較算，也是賰一條錢貫。,算來算去，也只是剩下一條錢串子，意謂終歸一無所有。
頭殼尖尖做錢貫。,腦袋尖尖的，有錢就鑽，活像一條錢串子。俗語，嘲笑熱衷金錢的人
無你是錢貫喔？一仙五厘都袂出得！,你難不成是條錢串子嗎？一毛錢都不肯出！
見若拜六，伊就走去踮沬。,只要是禮拜六，他就跑去潛水。
去田裡擇菜轉來煮。,到田裡去採拾野菜回來煮。
煮菜進前，著愛先擇菜。,煮菜前，要先剔除蔬菜中不能吃的部份。
隔壁歕燈火，佮你無底代。,鄰居吹熄燈火，跟你無關。當有人爭論之時，第三者出言袒護一方，對方則用這句話叫他別管閒事；或指多管他人的家務事。
厝邊咧凌治某囝，咱著通報一一三專線，毋通想講佮咱無底代。,鄰居在凌虐妻兒，咱們得通報113專線，不要以為不關咱們的事。
霎霎仔雨落無歇。,毛毛雨下個不停。
伊是咱工會的頭兄，對外的重大事件攏央伊出頭處理。,他是咱們工會的首腦人物，對外的重大事件都央求他出面處理。
我買一支手機仔八千，煞著開萬二箍去修理，真正是頭較大身。,我買一支手機八千，卻得花一萬二去修理，真的是本末倒置。
這件代誌予伊舞甲按呢，有影是頭較大身，歹收尾喔！,這件事情給他弄成這樣子，真是越理越亂，難以收拾啊！
毋知路，閣欲攑頭旗。,不曉得前進的路線，還想要在陣頭的前方高舉旗幟當先鋒。俗語，比喻自不量力，強出頭，或指外行領導內行。
遮的蓮霧攏是頭篩仔，寄予行口賣，價數一定誠好。,這些蓮霧都是上上之選，寄到大批發商去賣，價錢一定相當不錯。
頷頸珠是查埔人才有的。,喉結是男人才有的。
阿榮當咧轉大人，講話鴨雄仔聲。,阿榮正在發育成大人，說話像小公鴨的叫聲。
這个人客龜龜鱉鱉，買一種物件轉來換三逝。,這個客人不乾不脆，買一個東西回來換三次。
伊最近變甲龜龜鱉鱉，問伊按怎，閣吞吞吐吐，毋知咧變啥魍。,他最近變得神神祕祕的，問他怎麼了，又吞吞吐吐的，不知道在搞什麼飛機。
近來真䆀氣，凡事著愛較細膩咧。,最近運氣不佳，凡事得要小心謹慎一點。
下昏真䆀氣，拍麻雀一直放銃。,今晚手氣很背，打麻將一直放槍。
看戲看甲扛戲籠。,愛看戲的戲迷竟然去幫戲班扛戲箱。
我若做彼種代誌，後擺出門毋就愛戴小鬼仔殼。,我要是做那種事，以後出門不就得戴著面具了嗎。
伊戴小鬼仔殼咧做人，喙無迵心肝，袂信用得。,他為人處世好像戴著面具，心口不一，不能信任。
遐圍一簇人，毋知咧創啥？,那裡圍了一些人，不曉得在幹什麼？
頭毛白一簇,頭髮白了一撮
阮總的透早先來巡工廠，了後才去拜訪客戶。,我們總經理一大早先來巡視工廠，然後才去拜訪客戶。
臨時臨曜，我哪有遐濟錢通借你？,事到臨頭，我怎麼有那麼多錢可以借你？
外地的朋友來相揣，我𤆬伊出去附近四界蹓蹓咧。,外地的朋友來訪，我帶他出去附近四處走走看看。
香林隱痀橋是阿里山的新八景之一。,香林拱橋是阿里山的新八景之一。
你若看伊做了毋著，著共伊點拄一下。,你要是發現他做錯了，得提點他一下。
好事來，歹事煞，觀音佛祖來擺撥。,好事情就讓它來，壞事情就終結它，請觀世音菩薩來擺平。
朋友財務有困難，逐家相擺撥一下。,朋友財務有困難，互相周轉一下。
舊底阮無熟似，舊年才相捌。,原本我們不相識，去年才彼此認識。
伊舊底佇金仔店食頭路。,他以前在銀樓上班。
伊的舊症頭又閣夯起來矣。,他的老毛病又犯了。
薰觳仔滇矣，著清清咧。,菸灰缸滿了，要清理一下。
警方推測這件命案可能有幕後的藏鏡人。,警方推測這宗命案可能有幕後的黑手。
蟳膏是上等料理。,蟹膏是上等料理。
九月蟳膏，腹內空空。,農曆九月的時候，青蟹腹中的蟹黃空空的。俗語，形容腹笥甚窘。
伊這站仔因為胃破空手術，當咧蹛院。,他這陣子因為胃穿孔開刀，正在住院。
新的總經理真𠢕轉錢空，順利解決公司的財務危機。,新的總經理很會籌錢，順利解決公司的財務危機。
目睭看佇雙糕潤。,眼睛注視著好吃的雙糕潤。俗語，形容垂涎覬覦之狀。
雜貨仔店的生理攏去予大賣場搶去矣。,雜貨店的生意都被大賣場搶走了。
話講了傷離經，會予人笑。,話說得太離譜，會被人家嘲笑。
一千箍的貨刣甲賰三百，傷離經啦！,一千塊的貨品殺價到剩三百塊，太荒謬啦！
這過做風颱，真濟田園攏予大水淹去，作穡人誠離經。,這次颱風，很多田園都被洪水淹沒，農民非常悽慘。
神明生欲到進前，爐主著愛去家己庄仔內的每一口灶題緣金。,神明誕辰快到之前，受圈選的信眾代表必須到自己村子內的每戶人家去勸募。
伊做代誌懵膽懵膽，咱著閣替伊收尾。,他做事顧頭不顧尾的，咱們還得幫他善後。
藥頭兩碗水煎做八分就好。,這帖藥第一次熬煮，兩碗水熬煮成八分滿就可以了。
藥頭仔豬跤,藥膳豬腳
鏨頭短命，莫掠我金金相啦。,短命鬼，不要盯著我看啦。
囡仔佇動物園看著麒麟鹿，就歡喜甲跳起來。,小孩子在動物園看到長頸鹿，就高興得跳起來。
熱人蠓仔厚，著用蠓仔薰來趕蠓。,夏天蚊子多，得用蚊香來驅趕蚊子。
就是有鹹酸苦汫，才會當體會人生的滋味。,正是有酸甜苦辣，才能體會人生的滋味。
毋通攑香綴拜，予人牽咧烏白踅。,不要盲目跟從，被人家牽著團團轉。
大腳數共攑旗軍仔借錢。,大角色跟小角色借錢。俗語，比喻擅於賺錢的人不如懂得節儉的人。
熱人豬哥愛灇水，才袂熱著。,夏天配種用的雄性豬隻需要沖水，才不會中暑。
青春期的囡仔較會生爛𤶃仔，面愛洗予清氣。,青春期的孩子比較容易長爛痘，臉得洗乾淨。
早前若致著癩𰣻病，無藥醫。,早期如果罹患痲瘋病，沒有藥物可以醫治。
暗時路燈跤癩𰣻蛾仔颺颺飛。,夜間路燈底下群蛾胡亂飛舞。
這隻雞豚仔咧欲起𪁎矣。,這隻亞成雞快要發情了。
釘毋著所在的鐵釘仔著用鐵釘挽挽起來。,釘錯地方的鐵釘要用拔釘器拔起來。
鉸刀爿，鐵掃帚。,舊時指命中帶剪刀、鐵掃把的女人會帶來傷害夫家住宅的厄運，所以沒有人敢娶。
厝頂崁鐵鉼，熱人會傷熱。,屋頂蓋鐵片，夏天會太熱。
石頭傷大粒，著用鐵撬才撬會起來。,石頭太大了，要用鐵撬才撬得開。
弓蕉當貴，無倩人來園裡顧暝袂使得。,香蕉正值高價，沒有僱用工人來園子裡守夜不行。
昨暝輪著我顧暝，下早仔著愛補眠。,昨晚輪到我值夜班，今天早上需要補眠。
弓蕉去予風颱掃倒了了，咱著較儼硬咧，重來。,香蕉全被颱風吹倒了，我們要堅強一點，重新來過。
我老罔老，跤手猶真儼硬。,我雖然年紀大了些，手腳還很硬朗。
漚柑鋪籠面。,腐臭的橘子還排在竹籠的上面。罵人不知醜陋還在人前自曝其短，臭美而無自知之明。或指不知恥者愛出風頭。
有話聽好講，毋通囥佇心肝內。,有話可以講，不要放在內心。
手去洗洗咧，聽好食飯。,去洗洗手，以便吃飯。
無聊的時陣，就來變工藝。,無聊的時候，就找些消遣來打發時間。
逐家攏真無閒，干焦你咧變工藝，按呢敢會使得？,大家都很忙，只有你在消磨時間，這樣可以嗎？
一人占一項，閒閒罔變弄。,每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。
一粒好好的錶仔變弄甲害害去。,一只好好的手錶玩弄到壞了。
阿狗仔較𠢕變弄。,阿狗比較會玩弄詭計。
較早伊定定出去拍球，最近煞變相，毋愛出門。,從前他經常出去打球，最近個性竟然改變了，不喜歡出門。
食老，變相。,年歲大了，舉止違背常情。也常指一個老人的個性、嗜好突然大變。
伊鬼鬼祟祟，毋知閣欲變啥魍矣。,他鬼鬼祟祟的，不曉得又要耍什麼花樣了。
伊若無錢就變無魍矣！,他如果沒錢就搞不出花樣了！
現代人買物件的時，真濟人是用鑢卡的。,現代人買東西的時候，很多人是用刷卡的。
彼領衫殕殕，這領較豔色。,那件衣服灰撲撲的，這件顏色比較豔麗。
鷹仔目，看過三重壁。,像老鷹的眼睛一樣很銳利，能看透三層牆壁。指一個人的判斷力很厲害。
鹽桑仔大出的時，挽袂赴，落甲規塗跤。,桑椹盛產的時候，來不及採摘，掉得滿地都是。
鹽酸仔足臭賤的，真𠢕生湠。,酢醬草生命力強，很容易生長繁殖。
你是阿榮喔！歹勢，我真戇目。,你是阿榮喔！不好意思，我眼拙得很。
彼間餐廳，椅桌、塗跤一四界𣻸塌塌，真無衛生。,那間餐廳，桌椅、地面到處溼滑油膩，很不衛生。
這幾日雨澹水滴，路不時攏𣻸塌塌。,這幾天淫雨霏霏，路面常常都很溼滑。
下昏我有一个食飯會，無欲轉去食暗矣。,今晚我有一個飯局，不回去吃晚餐了。
阮阿媽雖然毋捌字，毋過伊講出喙的話攏是金言玉語。,我祖母雖然不識字，但是他說出口的話都是金玉良言。
伊共我害甲悽慘落魄，我也袂當予伊好食睏。,他把我害得慘兮兮，我也不能讓他有好日子過。
兄弟仔大漢著愛隨人食矣。,兄弟長大就得要分家了。
逐年寒人攏有真濟渡鳥來臺灣過冬。,每年冬天都有很多候鳥來臺灣過冬。
向望今年風調雨順，予咱逐家大趁錢。,祈望今年風調雨順，讓我們大家賺大錢。
公司一堆狗肉數，按怎掠都掠袂直。,公司一堆糊塗賬，再怎麼抓賬都兜不攏。
頭家落空車去載貨。,老闆開空車去載貨。
計程車司機足無愛落空車。,計程車司機很不喜歡載不到客而空車行駛。
臺灣人予人召去南洋戰場做肉餅，真濟無轉來。,臺灣人被徵召到南洋戰場當炮灰，好多沒回來。
無代誌通做，顛倒無局。,沒事幹，反而無聊。
彼齣戲搬甲真無局。,那齣戲演得很無趣。
開十萬箍買這軀衫實在真無局。,花十萬元買這套衣服實在非常不划算。
虹誠媠，毋過一時仔就無去矣。,彩虹很漂亮，不過一下子就不見了。
你先入去餐廳，我來去停車。,你先進去餐廳，我去停車。
入來內面等，毋通佇外口曝日。,進來裡面等，不要在外面曬太陽。
這改的風颱，害阿伯的田園予大水流去矣。,這次的颱風，害伯父的田地被洪水沖走了。
做大水,發生水災
阮大的對細漢的真照顧。,我們老大對小弟們很照顧。
伊是阮大的。,他是我大哥。
伊真為家己人，所以遐的細的攏足敬重伊。,他很維護自己人，所以那些小弟都很敬重他。
伊是阮細的。,他是我弟弟。
阮兜較早佇咧山內種果子。,我們家以前在山上種水果。
伊毋講，人哪會知影伊心內咧想啥。,他不說，別人怎麼會知道他心裡在想什麼。
你直接提去予伊毋就好矣，哪著閣用寄的？,你直接拿去給他不就好了，幹嘛還要用寄的？
以早遮是田，這馬做停車場，聽講以後欲起厝。,以前這裡是田，現在當停車場，聽說以後要蓋房子。
欲答應毋答應是出在你的意思，我袂共你干涉。,要不要答應是看你的意思，我不會干涉。
出在伊去,隨便他
出在人講,任人去說
看起來是大姊較巧神，小妹較頇顢。,看起來是大姊比較機靈，小妹比較笨拙。
我的目尾開始有皺痕矣。,我的眼尾開始有皺紋了。
伊毋敢直接看，干焦用目尾偷䀐。,他不敢直接看，只用眼角餘光偷瞄。
使目尾,以眼神示意，常用於表示眉目傳情
捽目尾,使眼色
無閒遮久矣，你著好好仔歇睏。,忙了這麼久，你要好好休息。
人攏講伊食好做輕可，實在真好命。,大家都說他吃得好工作又輕鬆，真是命好。
好命囝,出生就命好的人
海湧有時起，有時落。,海浪有時候起，有時候落。
生有時，死有日。,生命有限，終有一日會死亡。
縣爺先去官廳辦公，才去巡視。,縣太爺先去衙門辦公，才去巡視。
報官廳,報官、興訟
遮咧欠跤手，伊拄拄有閒，就請伊來鬥相共。,這裡缺人手，他剛好有空，就請他來幫忙。
無彩拄拄落肥爾爾，隨就做大水。,可惜才剛剛施肥而已，立刻就發生水災了。
𪜶某真早就過身，賰爸仔囝兩人做伙過日子。,他的妻子很早就過世了，剩父子倆一起生活。
陳三五娘相𤆬走的故事，佇臺灣真受歡迎。,陳三五娘私奔的故事，在臺灣很受歡迎。
腹肚枵無才調做工課，愛食飽才有氣力。,肚子餓沒辦法工作，要吃飽才有力氣。
伊規工攏佇厝裡無出去。,他整天都在家沒出門。
看恁翁仔某感情遮好，實在予人欣羨。,看你們夫妻倆感情這麼好，實在讓人羨慕。
阿母想欲飼一隻狗仔佮伊做伴。,媽媽想要養一隻狗跟他作伴。
你偷偷仔共物件提入去，毋通予人看著。,你偷偷把東西拿進去，不要被別人看到。
阿公那挨二絃那唸歌，足好聽的。,爺爺一邊拉二絃一邊唱歌，很好聽。
伊這改是堅心欲拍拚，無成功就毋轉去故鄉。,他這次是下定決心要努力，不成功就不回去故鄉。
伊的能力是通人知、通人呵咾的。,他的能力是大家都知道、大家都稱讚的。
伊足歹奉待，逐項伊都無滿意。,他很難伺候，凡事他都不滿意。
無夠用,不夠用
無夠看,不夠看、不到水準
恁阿母遮爾辛苦，你著愛較會曉想咧。,你媽媽這麼辛苦，你應該更加懂事才對。
我想講已經暗矣，歹勢共你攪吵。,我想已經很晚了，不好意思打擾你。
逐家攏想講伊應該會贏，早就準備欲共伊恭喜矣。,大家都覺得他會贏，早就準備向他恭賀了。
我才想講欲去揣你，你就敲電話來矣。,我正打算要去找你，你就打電話來了。
去宜蘭，著買膽肝轉來做等路。,去宜蘭，要買膽肝回來當做伴手禮。
用雞卵清做雞卵糕。,用雞蛋的蛋白製做蛋糕。
面肉媠,長得美
面肉白,臉的皮膚白晰
面肉消瘦,臉部消瘦了
這窟魚池仔活足濟魚仔栽。,這座魚池繁殖很多魚苗。
伊真𠢕活果子栽。,他很會培育果苗。
伊這身工夫練甲真活。,他這身功夫練得很老練。
甭閣啉矣啦，酒啉傷濟會醉呢！,不要再喝了啦，酒喝太多會醉呢！
芋稈,芋稈
稻稈,稻稈
番薯稜,地瓜壟
菜稜,菜壟
走縒,走樣
阿瑋共你招遐濟擺，你煞按呢直直挨推，無的確會去觸著人的好意。,阿瑋邀了你那麼多次，你卻這樣一再推辭，說不定會辜負人家的一片好意。
觸著鬼,冒犯到鬼
這款歹吉兆的代誌，觸著的人攏會衰甲頭殼滴著鳥仔屎。,這種不吉利的事情，遇到的人都會倒霉到被鳥屎滴到頭頂。
觸衰,遇到惡運
老師叫學生徛予騰排做一列，準備欲上台表演。,老師叫學生站直排成一行，準備要上台表演。
我都毋是仙講會騰雲駕霧。,我又不是神仙，哪有辦法駕駁雲霧升空呢。
透早騎跤踏車去學校的時，拄好咧𬦰崎閣著㧣風，騎甲怦怦喘。,早上騎腳踏車去學校的時候，正巧在爬坡又得頂著風，騎得氣喘吁吁。
你發遐濟𤶃仔子，著較莫食傷燥的物件。,你長那麼多的青春痘，應該少吃過於燥熱的東西。
物件㧒甲規四界攏毋整理，看著真袂爽。,東西丟得滿地，也不整理，讓人很不舒服。
因為有抾恨佇咧，我袂爽佮伊坐仝桌。,我和他有過節，不爽跟他同桌吃飯。
一下仔無斟酌，囡仔煞走無去。,一下子沒注意，孩子就走失了。
伊跤手真猛掠，遮爾濟工課一下仔就完成矣。,他手腳很伶俐，這麼多工作一下子就完成了。
今年的八月半，阮規陣人相招欲來去烘肉佮賞月。,今年的中秋節，我們一群人相約要一起去烤肉跟賞月。
這層代誌僫處理，等下日才寬寬仔講予你知。,這件事情不容易處理，改天再慢慢告訴你。
伊出業到今猶揣無頭路，臨時跔佇里長伯仔遐做小使仔。,他畢業至今還沒找到工作，暫時跟在里長伯身旁當跑腿的。
外口一陣人喝甲大細聲，毋知出啥物代誌？,外面一群人在高聲喧鬧，不知道發生什麼事？
彼對翁仔某定定為著錢咧大細聲。,那對夫妻常常為了錢吵架。
這馬佇新北市土城區的大墓公聽講佮早前的林爽文事件、漳泉拚攏有關係。,現在在新北市土城區的大墓公聽說與之前的林爽文事件、漳泉械鬥都有關係。
阮去公園散步，行到中站，看著人咧弄布袋戲尪仔，有影誠心適。,我們到公園散步，走到半路，看到有人在操弄布袋戲偶，非常有趣。
會開到中站的時，董事長宣佈明年薪水加五pha，逐家聽了攏誠歡喜。,會議開到中途時，董事長宣佈明年加薪百分之五，大家聽了都非常開心。
月底通常是阮公司無閒咧出貨的日子。,月底通常是我們公司忙著出貨的日子。
水洘了後，海埔頂四常看會著螺仔。,退潮之後，沙灘上經常看得到小海螺。
這陣囡仔會遮挐，攏嘛是伊咧歹鬼𤆬頭。,這些孩子會這麼無理取鬧，都是他帶頭起鬨的。
今年市草䆀，日子加誠歹過。,今年景氣較差，不好過生活。
你這个夭壽骨，規工啉酒毋去作穡，欲哪會有通食。,你這個短命鬼，整天喝酒不去工作，怎麼會有得吃呢。
這箍人真夭壽骨，物件共我變害去煞做伊走。,這傢伙真缺德，弄壞我的東西竟一走了之。
錢銀幾萬千，毋值囝孫出人前。,錢財幾千萬，都不如子孫才能出眾。
這个囡仔上台演講真在，有影出人前。,這個孩子上台演講台風穩健，果然是不怕生。
另工有閒才閣來揣你開講。,改天有空再來找你聊天。
伊做的歹代一下出破，就隨走路矣。,他做的壞事一敗露，就馬上逃亡了。
伊間諜的身份已經出破矣。,他間諜的身分已經暴露了。
伊這站仔外務真濟，除去正職的頭路，閣有足濟社團的工課，較加嘛無閒𩑾𩑾。,他這陣仔外務很多，除了正職的工作，還有許多社團的工作，難怪會忙得暈頭轉向。
阮阿姊的工課是咧招保險的外務，定定著四界去走傱。,我姐姐的工作是拉保險的外務員，常常要四處去奔波。
拄才是啥人叫電話來？,剛才是誰打電話過來？
三層半精肥，上合我的氣口。,五花肉半肥半瘦，最合我的口味。
𪜶囝娶彼个某，毋但媠閣巧氣。,他兒子娶的那個老婆，不只漂亮也很聰穎。
阮阿公講伊食到這號歲，今都目花矣，著愛用譀鏡看報紙才看有。,我爺爺說他活到這個歲數，現今早已老眼昏花，得要用放大鏡看報紙才看得清楚。
雄雄目花看袂明，毋才佇路裡認毋著人。,突然眼花看不清楚，才在路上認錯人。
伊的個性誠生猴，處理代誌予人袂放心。,他的個性急躁，做事情讓人不放心。
做代誌毋通傷生猴，勻勻仔做較袂脫箠。,做事情不要慌慌張張，謹慎地做比較不容易出差錯。
頭家叫我牽彼个拄來上班的生猴，講著愛較有耐心咧。,老闆要我引導那個剛來上班的新手，說得要有耐心一些。
專工出國去買一跤皮包仔轉來，煞去買著仿仔，想著誠厭氣。,專程出國去買一個皮包回來，卻買到仿冒品，想起來真是一肚子氣。
聽講這个網站咧賣的鞋仔，有寡是仿仔，你著較細膩咧！,聽說這個網站販賣的鞋子，有些是仿冒品，你得小心一點！
若想欲共人買較貴的物件，愛先交定才有準算。,如果想跟別人買比較貴的東西，要先付訂金才算數。
佮「外家」意思相仝，字目無仝的有「後頭厝」、「後頭」佮「外家厝」。,和「外家」意思相同，文字不同的有「後頭厝」、「後頭」與「外家厝」。
伊冊讀比人較濟，字目也確實捌比人較深。,他書讀得比別人多，學識也的確比別人淵博。
坐傷久腰脊骨會痠，上無嘛半點鐘就起來伸輪一下。,坐太久腰骨會痠痛，最少半個小時就起來伸展一下。
你今仔日誠無閒的款，規氣我別工才閣來揣你。,你今天很忙的樣子，乾脆我改天再來找你。
會議都欲起鼓矣，伊呔會猶未到位？,會議就要開始了，他怎麼還沒到場？
老師若講你，你千萬毋通扴話。,老師如果責罵你，你千萬不能還嘴。
見擺𪜶老爸若咧講伊，伊就直直扴話，兩人講甲咧欲冤家。,每次他爸爸若在責備他，他就不斷地頂嘴，雙方講到都快吵架了。
塗水師無下心神咧捽繩，較加壁堵嘛疊甲走斜去。,泥水匠拉墨繩取直線沒有用心，這也難怪磚牆砌得歪斜不正。
小弟定定睏坦斜，規頂眠床攏予伊占去。,弟弟睡覺時常斜躺著睡，整個床鋪都被他佔去。
囡仔出癖，姑不將予伊佇厝裡歇睏。,小孩子感染痳疹，只好在家裡休息。
伊逐工都攏笑頭笑面，拄才哪會聽著伊佮厝邊咧大細聲，真怪奇呢！,他每天都笑咪咪的，剛才怎麼會聽見他和鄰居爭吵不休，真是奇怪！
拄仔有人敲電話來，講欲揣你。,剛剛有人打電話來，說要找你。
伊拄仔出門就隨落雨，趕緊傱轉來厝裡攑雨傘。,他一出門就馬上下雨，趕緊衝回家裡拿傘。
阮兜種的檨仔拄仔黃，你這站仔來上拄好。,我們家種的芒果恰好熟了，你這陣子來最合適。
若欲睏愛先去放尿，半暝仔才袂泄尿。,如果要睡得先去尿尿，半夜才不會尿床。
阿公往生六冬矣，今年著愛抾金囉。,爺爺過世六年了，今年需要撿骨了。
你衫穿甲花貓貓，敢會看口得？,你衣服穿得花裡胡哨的，能看嗎？
細漢囡仔食飯定定嘛舞甲規面花貓貓。,小朋友吃飯的時候常常沾得滿臉都是食物殘渣。
咱是欲去共恁阿妗送山，你穿甲規身軀花彔彔，敢有合？,我們要去送舅媽出殯，你全身穿得花花綠綠，合適嗎？
你共數記甲花彔彔，啥人看有？,你把帳目記得亂七八糟，誰看得懂？
你共這堵壁畫甲花哩囉，敢會看口得！,你把這面牆畫得花不棱登的，能看嗎！
一項簡單的代誌講甲花哩囉，啥人聽有咧？,一件單純的事情說得顛三倒四，誰聽得懂呢？
食頭路這號代誌定著愛想較斟酌咧，較免後日仔才來後悔。,找工作這種事，一定要仔細斟酌，免得將來後悔。
這改考題攏看毋捌，後改我一定欲好好仔讀冊矣！,這次考題都看不懂，下次我一定要好好讀書了！
這台oo-tóo-bái的ia̋n-jín愛拆，你去共我遐的家私頭仔提來。,這台摩托車的引擎需要拆解，你去把我那些工具拿來。
恁共厝內舞甲挐絞絞，恁老母若轉來恁就害。,你們把家裡搞得亂糟糟，你媽媽回來你們就慘了。
這軀洋裝的料身袂䆀，色水閣真媠，價數應該無俗。,這件洋裝的質料不錯，色澤又很美，價格應該不便宜。
無證據的代誌毋通佇遐烏白講。,沒有證據的事不要在那裡亂講。
你若猶閣有缺欠啥，不管時攏通來共我講。,你要是還欠缺什麼，隨時都可以來告訴我。
戰後經濟無好，逐項物資攏真缺欠。,戰爭結束經濟不好，什麼物資都很缺乏。
伊留一張紙條仔，講無欲轉來食暗頓。,他留一張紙條，說不回來吃晚餐。
